Speciation Rate, Number of Leaves
0.1,7
0.2,12
0.3,17
0.4,20
0.5,23
0.6,24
0.7,22
0.8,23
0.9,42
1,60
1.1,29
1.2,50
1.3,26
1.4,45
1.5,56
1.6,57
1.7,42
1.8,57
1.9,95
2,61
2.1,51
2.2,49
2.3,66
2.4,104
2.5,93
2.6,51
2.7,79
2.8,81
2.9,70
3,95
3.1,96
3.2,87
3.3,108
3.4,110
3.5,108
3.6,74
3.7,80
3.8,87
3.9,81
4,131
4.1,93
4.2,138
4.3,108
4.4,73
4.5,82
4.6,90
4.7,101
4.8,92
4.9,121
5,100
5.1,179
5.2,165
5.3,181
5.4,97
5.5,136
5.6,138
5.7,142
5.8,154
5.9,164
6,117
6.1,128
6.2,126
6.3,143
6.4,106
6.5,145
6.6,162
6.7,191
6.8,122
6.9,161
7,130
7.1,154
7.2,217
7.3,142
7.4,162
7.5,155
7.6,175
7.7,182
7.8,199
7.9,107
8,223
8.1,230
8.2,148
8.3,159
8.4,212
8.5,105
8.6,194
8.7,147
8.8,207
8.9,171
9,180
9.1,194
9.2,232
9.3,156
9.4,168
9.5,205
9.6,243
9.7,207
9.8,172
9.9,197
10,234