Speciation Rate, Length of Tree
0.1,58.20609702
0.2,25.90682899
0.3,20.71203692
0.4,21.42155752
0.5,10.43557977
0.6,8.746180228
0.7,8.657533572
0.8,6.800543612
0.9,7.131685982
1,4.761194879
1.1,5.403554216
1.2,4.778707905
1.3,3.925126674
1.4,3.230081658
1.5,3.805769529
1.6,3.850641518
1.7,2.838764023
1.8,2.850303882
1.9,3.585701849
2,2.797601359
2.1,2.277571091
2.2,1.349160293
2.3,2.113607355
2.4,2.31324918
2.5,2.563991902
2.6,1.592020524
2.7,2.036362865
2.8,1.550905512
2.9,1.504944181
3,2.268520039
3.1,1.575198577
3.2,1.331878549
3.3,1.594427286
3.4,1.237722705
3.5,1.709985685
3.6,1.098210046
3.7,1.58318935
3.8,1.185730474
3.9,1.303331474
4,1.393871605
4.1,1.201306309
4.2,1.329340277
4.3,1.423715347
4.4,1.30535122
4.5,0.728517839
4.6,1.028993395
4.7,0.845774028
4.8,1.501793935
4.9,1.480867672
5,1.00637678
5.1,1.014181294
5.2,1.015428013
5.3,1.229006783
5.4,0.58839643
5.5,0.682228519
5.6,0.688411698
5.7,0.926890801
5.8,1.039409693
5.9,0.91732046
6,1.165097281
6.1,1.188359696
6.2,0.740649217
6.3,0.933644063
6.4,0.718329797
6.5,1.059583564
6.6,0.684843661
6.7,0.805454751
6.8,1.082422624
6.9,0.709939527
7,0.78079624
7.1,0.524539986
7.2,0.666954685
7.3,0.747627283
7.4,0.501285651
7.5,0.614204007
7.6,0.884317971
7.7,0.589479218
7.8,0.599298125
7.9,0.944225641
8,0.618226562
8.1,0.834432869
8.2,0.456126352
8.3,0.747037555
8.4,0.666987506
8.5,0.588171831
8.6,0.549734286
8.7,0.915709602
8.8,0.483970729
8.9,0.462992593
9,0.586175678
9.1,0.484073128
9.2,0.804635402
9.3,0.803562555
9.4,0.741083914
9.5,0.414645085
9.6,0.468004158
9.7,0.527350538
9.8,0.396323946
9.9,0.521381554
10,0.500667717